LatencyToFirstOpenS,NumberOfBoxesOpened,NumberOfBoxesFedFrom,DominanceScore,LogNumberOfBoxesFedFrom,LogNumberOfBoxesOpened
13292,3,4,0,0.602059991,0.477121255
4279,14,30,1,1.477121255,1.146128036
10701,1,4,0.546237536,0.602059991,0
8886,1,5,0.805757029,0.698970004,0
8461,6,25,0,1.397940009,0.77815125
5017,4,20,1,1.301029996,0.602059991
2044,13,28,0.548770012,1.447158031,1.113943352
3383,11,26,0.860254241,1.414973348,1.041392685
2558,31,36,0.387507378,1.556302501,1.491361694
7025,9,20,0.883806974,1.301029996,0.954242509
15000,0,4,0.464031974,0.602059991,
7420,8,19,1,1.278753601,0.903089987
8135,2,9,0,0.954242509,0.301029996
803,3,8,0.450926718,0.903089987,0.477121255
924,22,39,0.641117767,1.591064607,1.342422681
3207,27,40,1,1.602059991,1.431363764
410,35,46,0.931506856,1.662757832,1.544068044
15000,0,8,0.534246572,0.903089987,
6904,6,22,1,1.342422681,0.77815125
1527,3,16,0.49084997,1.204119983,0.477121255
15000,0,6,0.180600724,0.77815125,
15000,0,3,0.288331318,0.477121255,
15000,0,7,0,0.84509804,
1901,5,16,0.696928477,1.204119983,0.698970004
2796,3,12,1,1.079181246,0.477121255
15000,0,1,0,0,
2519,4,7,0.654117643,0.84509804,0.602059991
15000,0,0,0.263529423,,
15000,0,0,0.24423529,,
4235,1,5,1,0.698970004,0
15000,0,0,0.375764715,,
15000,0,4,0.803046458,0.602059991,
