Group,FishID,AsWeightedDegree,AsDegree,AsDegreeNorm,AsCloseness,AsBetweenness,AfWeightedDegree,AfDegree,AfDegreeNorm,AfCloseness,AfBetweenness,AgWeightedDegree,AgDegree,AgDegreeNorm,AgCloseness,AgBetweenness,Open,OOA(open),LatencyOpen(trials),LatOpenS,NoOpens,Feed,OOA(feed),LatencyFeed(trials),LatFeedS,NoFeeds,Dom,AgDispAv,AgRecAv,Qav
4,23,0.3692078,8,1,0.04237288,10,0.1666667,4,0.5,0.8333333,1.666667,0.2763158,5,0.625,0.5,4.5,1,1,23,13292,3,1,0.75,13,7307,4,0,0.142857143,2.571428571,9
4,25,0.9730942,8,1,0.0212766,0,0.25,6,0.75,1,6.333333,1,7,0.875,0.3125,3.75,1,0.25,8,4279,14,1,0.25,4,1955,30,1,8.571428571,1.571428571,11.57142857
4,34,0.7802691,8,1,0.03597122,3,0.8333333,6,0.75,0.8333333,1.666667,0.4078947,5,0.625,0.3571429,2,1,0.75,17,10701,1,1,0.5,8,4589,4,0.546237536,1.428571429,2.571428571,10
4,39,1,8,1,0.02475248,0,1,6,0.75,0.625,0,0.6315789,6,0.75,0.4166667,3,1,0.5,15,8886,1,1,1,11,6139,5,0.805757029,2.714285714,3.428571429,8
5,21,0.5684932,8,1,0.02717391,0,0.1282051,6,0.75,0.5555556,0,0.5342466,5,0.625,0.3333333,5,1,1,15,8461,6,1,0.25,1,398,25,0,0.142857143,4.142857143,8
5,28,0.9060665,8,1,0.03424658,6,0.9487179,4,0.5,0.5,0,0.8356164,6,0.75,0.106383,0,1,0.75,9,5017,4,1,0.5,1,365,20,1,5.428571429,0.714285714,12.28571429
5,37,0.6144814,8,1,0.02564103,0,0.1538462,6,0.75,0.7142857,0,1,7,0.875,0.3333333,0,1,0.25,4,2044,13,1,0.75,3,1383,28,0.548770012,4,4.714285714,13.28571429
5,22,1,8,1,0.02717391,0,1,8,1,1,8,0.5479452,7,0.875,0.2173913,5,1,0.5,6,3383,11,1,1,6,3383,26,0.860254241,2.285714286,0.714285714,9.857142857
7,31,0.4506104,8,1,0.04065041,0,0.03921569,4,0.5,0.5555556,6,0.6020408,6,0.75,0.27777778,1.5,1,0.25,5,2558,31,1,0.25,5,2558,36,0.387507378,2.285714286,5.285714286,9
7,24,1,8,1,0.03355705,0,0.96078431,4,0.5,0.4166667,0,1,6,0.75,0.08064516,0,1,0.5,12,7025,9,1,1,12,7026,20,0.883806974,11,1.714285714,13.14285714
7,35,0.3651498,8,1,0.03676471,0,0.01960784,2,0.25,0.3846154,0,0.5204082,6,0.75,0.26315789,2,0,1,25,15000,0,1,0.75,8,4533,4,0.464031974,1.714285714,4.857142857,6
7,32,0.945616,8,1,0.04098361,4,1,6,0.75,0.5,6,0.622449,6,0.75,0.09259259,3,1,0.75,13,7420,8,1,0.5,7,4018,19,1,5.714285714,0.571428571,10.57142857
6,27,0.5931198,8,1,0.02538071,4,0.1666667,6,0.75,0.625,8,0.8596491,6,0.75,0.25,1,1,1,14,8135,2,1,0.75,3,1565,9,0,0.875,4.25,8.875
6,30,0.5670225,8,1,0.02325581,2,0.1,4,0.5,0.4166667,0,0.4736842,6,0.75,0.3333333,2,1,0.25,2,803,3,1,1,3,1568,8,0.450926718,1.25,2,11.25
6,26,1,8,1,0.01677852,0,0.9666667,4,0.5,0.3846154,0,0.6140351,6,0.75,0.2173913,2,1,0.5,2,924,22,1,0.5,2,992,39,0.641117767,2.25,1.625,12
6,29,0.886121,8,1,0.0204918,0,1,6,0.75,0.5555556,3,0.877193,4,0.5,0.1111111,0,1,0.75,6,3207,27,1,0.25,2,914,40,1,5.625,0,13.375
8,47,0.9160305,6,1,0.014652015,2,1,4,0.666666667,0.15384615,2,0.3888889,3,0.5,0.23529412,0,1,0.333,1,410,35,1,0.333,1,483,46,0.931506856,1.625,0,11.5
8,48,0.9480916,6,1,0.009569378,0,0.1818182,2,0.333333333,0.13333333,0,1,4,0.666666667,0.57142857,1,0,1,25,15000,0,1,0.667,2,1093,8,0.534246572,0.125,4.25,10.375
8,49,1,6,1,0.012195122,0,0.8181818,2,0.333333333,0.09090909,0,0.8055556,2,0.333333333,0.07272727,0,1,0.667,12,6904,6,1,1,7,4094,22,1,3.75,0,12.5
9,51,0.9024927,12,1,0.01125402,2,0.8888889,10,0.833333333,0.21875,1,0.6093294,12,1,0.07777778,0.5,1,0.167,3,1527,3,1,0.5,1,0,16,0.49084997,5.714285714,7.714285714,13.28571429
9,52,0.9464809,12,1,0.0111465,0,0.8888889,12,1,0.3888889,9.666667,0.664723,12,1,0.175,1.5,0,1,25,15000,0,1,0.333,1,0,6,0.180600724,4.428571429,11,11.28571429
9,54,0.8049853,12,1,0.01277372,0,0.9259259,10,0.833333333,0.3181818,0,0.548105,12,1,0.12962963,1.5,0,1,25,15000,0,1,1,5,2400,3,0.288331318,5,10.71428571,12
9,55,0.9347507,12,1,0.01176471,2,1,12,1,0.4117647,7.333333,0.5714286,12,1,0.17948718,1.5,0,1,25,15000,0,1,0.167,1,0,7,0,2,10.85714286,11.57142857
9,56,0.936217,12,1,0.01182432,2,0.8888889,12,1,0.4117647,16,0.5801749,12,1,0.07446809,6,1,0.333,4,1901,5,1,0.667,1,0,16,0.696928477,7.714285714,6,10
9,57,0.9178886,12,1,0.01194539,2,0.962963,10,0.833333333,0.2413793,0,1,12,1,0.02287582,0,1,0.5,5,2796,3,1,0.833,4,1800,12,1,22.57142857,1.714285714,12.71428571
10,58,0.7086331,14,1,0.02693603,0,0,0,0,0.1428571,0,0.328125,6,0.428571429,0.1428571,0,0,1,25,15000,0,1,0.4286,5,2400,1,0,0,3,1.857142857
10,60,0.9820144,14,1,0.02930403,0,0.86956522,6,0.428571429,0.2666667,2,0.421875,12,0.857142857,0.5333333,14.5,1,0.143,5,2519,4,1,0.1429,5,2400,7,0.654117643,1.571428571,1.142857143,10.14285714
10,61,0.6282974,14,1,0.03053435,3,0,0,0,0.1428571,0,0.28125,5,0.357142857,0.1632653,1,0,1,25,15000,0,0,1,25,15000,0,0.263529423,0.142857143,2.428571429,11
10,62,0.8645084,14,1,0.02339181,0,0.08695652,4,0.285714286,0.2857143,8,0.328125,7,0.5,0.3478261,2,0,1,25,15000,0,0,1,25,15000,0,0.24423529,0.285714286,2.571428571,11.14285714
10,63,1,14,1,0.02898551,0,1,8,0.571428571,0.3076923,12,0.828125,10,0.714285714,0.2222222,0.5,1,0.286,8,4235,1,1,0.5714,5,2400,5,1,6.142857143,0.571428571,10.85714286
10,64,0.7422062,14,1,0.02580645,1,0.13043478,4,0.285714286,0.2857143,3,0.328125,7,0.5,0.4705882,2.5,0,1,25,15000,0,0,1,25,15000,0,0.375764715,0.428571429,2.285714286,10.85714286
10,65,0.6438849,14,1,0.02898551,0.5,0.13043478,4,0.285714286,0.2857143,3,0.703125,10,0.714285714,0.6666667,0,0,1,25,15000,0,1,0.2857,5,2400,4,0.803046458,2.571428571,2.571428571,11.28571429
